CHEMICAL NAME,CAS No.,RTECS No.
Vanadium pentaoxide fume,1314-62-1,YW2460000
Varnish makers' & painters' naphtha,8032-32-4,OI6180000
VC,75-01-4,KU9625000
VCM,75-01-4,KU9625000
VCN,107-13-1,AT5250000
VDC,75-35-4,KV9275000
VDF,75-38-7,KW0560000
Vegetable mist,68956-68-3,YX1850000
Vegetable oil mist*,68956-68-3,YX1850000
Vikane®,2699-79-8,WT5075000
Vinyl acetate*,108-05-4,AK0875000
Vinyl acetate monomer,108-05-4,AK0875000
Vinyl benzene,100-42-5,WL3675000
Vinyl bromide*,593-60-2,KU8400000
Vinyl carbinol,107-18-6,BA5075000
Vinyl chloride*,75-01-4,KU9625000
Vinyl chloride monomer (VCM),75-01-4,KU9625000
Vinyl cyanide,107-13-1,AT5250000
Vinyl cyclohexene dioxide*,106-87-6,RN8640000
Vinyl ethanoate,108-05-4,AK0875000
Vinyl fluoride*,75-02-5,YZ7351000
Vinyl fluoride monomer,75-02-5,YZ7351000
Vinyl toluene*,25013-15-4 (inhibited),WL5075000
Vinyl trichloride,79-00-5,KJ3150000
Vinylethylene,106-99-0,EI9275000
Vinylidene chloride*,75-35-4,KV9275000
Vinylidene chloride monomer,75-35-4,KV9275000
Vinylidene dichloride,75-35-4,KV9275000
Vinylidene difluoride,75-38-7,KW0560000
Vinylidene fluoride*,75-38-7,KW0560000
Vinylstyrene,1321-74-0 (mixed isomers),CZ9370000
VM & P Naphtha*,8032-32-4,OI6180000
WARF,81-81-2,GN4550000
Warfarin*,81-81-2,GN4550000
Welding fumes*,,ZC2550000
Western red cedar dust,,ZC9850000
White fuming nitric acid (WFNA),7697-37-2,QU5775000
White mineral oil mist,8012-95-1,PY8030000
White phosphoric acid,7664-38-2,TB6300000
White phosphorus,7723-14-0,TH3500000
White tar,91-20-3,QJ0525000
White tin oxide,18282-10-5,XQ4000000
Wolfram,7440-33-7,YO7175000
Wood alcohol,67-56-1,PC1400000
Wood dust*,,ZC9850000
Wood naphtha,67-56-1,PC1400000
Wood spirit,67-56-1,PC1400000
Wood turpentine,8006-64-2,YO8400000
meta-Xylene,108-38-3,ZE2275000
m-Xylene*,108-38-3,ZE2275000
"m-Xylene-a,a'-diamine*",1477-55-0,PF8970000
m-Xylol,108-38-3,ZE2275000
m-Xylylenediamine,1477-55-0,PF8970000
ortho-Xylene,95-47-6,ZE2450000
o-Xylene*,95-47-6,ZE2450000
o-Xylol,95-47-6,ZE2450000
para-Xylene,106-42-3,ZE2625000
p-Xylene*,106-42-3,ZE2625000
p-Xylol,106-42-3,ZE2625000
Xylidine*,1300-73-8,ZE8575000
Xylidine isomers,1300-73-8,ZE8575000
Yttrium*,7440-65-5,ZG2980000
Yttrium metal,7440-65-5,ZG2980000
Zimmwaldite,12001-26-2,VV8760000
Zinc chloride fume*,7646-85-7,ZH1400000
Zinc chromate,1333-82-0 (CrO3),GB6650000 (CrO3)
Zinc dichloride fume,7646-85-7,ZH1400000
Zinc distearate,557-05-1,ZH5200000
Zinc oxide*,1314-13-2,ZH4810000
Zinc peroxide,1314-13-2,ZH4810000
Zinc salt of stearic acid,557-05-1,ZH5200000
Zinc stearate*,557-05-1,ZH5200000
Zirconium,7440-67-7 (Metal),ZH7070000 (Metal)
Zirconium compounds (as Zr)*,7440-67-7 (Metal),ZH7070000 (Metal)
Zoalene,148-01-6,XS4200000
